Ticker,Volume,Close,Open,Market Cap,Industry,Relative Strength Index (14),Low,High,Volatility
A,1524184,69.45,69.19,22205740000,Advanced Medical Equipment & Technology,62.029697,68.91,69.6,1.0738645
AA,3978772,53.96,53.79,10016240000,Aluminum,55.165108,53.37,54.25,1.6488664
AABA,3162173,75.67,75.95,62077990000,Closed End Funds,63.887012,75.3,76.36,1.4077026
AAC,193138,11.99,11.66,282109300,Healthcare Facilities & Services,58.537094,11.66,12.3,6.51801
AADR,33481,58.32,58.96,,Exchange Traded Fund,48.487152,58.27,59.169,1.542818
AAL,6066657,42.6,42.08,19681140000,Airlines,38.52763,42.02,42.66,1.5230843
AAMC,201,63.6,65.4,103879000,Real Estate Services,50.205772,63.6,65.4,2.8301888
AAME,30691,3,3,63246290,Life & Health Insurance,37.28392,2.85,3,8.77193
AAN,678745,40.49,40,2813794000,Computer & Electronics Retailers,36.718513,39.82,40.68,2.1597188
AAOI,619982,31.78,32.09,625778400,Communications & Networking,52.78824,31.61,32.47,2.720658
AAON,101769,29.55,29.8,1555158000,Electrical Components & Equipment,25.773003,29.35,29.9,1.8739352
AAP,1354670,119.94,118.31,8749865000,"Auto Vehicles, Parts & Service Retailers",65.33123,117.59,122.3,4.0054426
AAPL,26212220,188.59,189.49,964265400000,Phones & Handheld Devices,69.23547,187.45,190.06,1.3923713
AAT,215904,35.25,35.26,1663923000,Commercial REITs,62.999138,35.1,35.42,0.91168094
AAU,430071,0.782,0.838,85666740,Gold,40.847855,0.773,0.838,8.408797
AAV,278496,2.8,2.9,545900400,Oil & Gas Exploration and Production,35.298775,2.8,2.94,5.357143
AAWW,134526,68.05,68.6,1749705000,Air Freight & Courier Services,66.30644,67.25,69.2,2.8996282
AAXJ,168934,77.49,77.74,,Exchange Traded Fund,56.97095,77.28,77.75,0.6081781
AAXN,1110579,57.26,55.44,2955340000,Aerospace & Defense,86.90661,55.16,57.44,4.13343
AB,701677,26.95,26.75,2607088000,Investment Management & Fund Operators,54.0429,26.55,27.05,1.8832392
ABAC,17025,2.2393,2.3885,18671580,Fishing & Farming,41.20009,2.14,2.3885,11.612149
ABAX,118943,70.85,69.87,1585682000,Advanced Medical Equipment & Technology,53.56356,69.87,72.9523,4.425791
ABB,1023588,23.99,24.07,51604090000,Heavy Electrical Equipment,57.940857,23.955,24.13,0.7305364
ABBV,6358936,104.18,103.46,163190800000,Pharmaceuticals,63.213066,102.04,104.685,2.5921206
ABC,1853279,86.88,85.6,18799840000,Drug Retailers,46.159294,84.64,87.5,3.379017
